Epoch: [0][580/5052], lr: 0.00100	Time 2.156 (2.170)	Data 1.657 (1.665)	Loss 0.9967 (1.7307)	Prec@1 66.667 (53.450)	Prec@5 100.000 (80.228)
Epoch: [0][600/5052], lr: 0.00100	Time 2.147 (2.168)	Data 1.642 (1.664)	Loss 1.6273 (1.7251)	Prec@1 54.167 (53.522)	Prec@5 87.500 (80.415)
Epoch: [0][620/5052], lr: 0.00100	Time 2.213 (2.167)	Data 1.725 (1.664)	Loss 2.0973 (1.7170)	Prec@1 41.667 (53.663)	Prec@5 79.167 (80.623)
Epoch: [0][640/5052], lr: 0.00100	Time 2.166 (2.167)	Data 1.675 (1.664)	Loss 1.3937 (1.7099)	Prec@1 58.333 (53.647)	Prec@5 87.500 (80.772)
Epoch: [0][660/5052], lr: 0.00100	Time 2.240 (2.168)	Data 1.751 (1.665)	Loss 1.0174 (1.7025)	Prec@1 66.667 (53.776)	Prec@5 95.833 (80.925)
Epoch: [0][680/5052], lr: 0.00100	Time 2.140 (2.168)	Data 1.637 (1.665)	Loss 1.1473 (1.6937)	Prec@1 62.500 (53.971)	Prec@5 95.833 (81.051)
Epoch: [0][700/5052], lr: 0.00100	Time 2.105 (2.166)	Data 1.632 (1.664)	Loss 1.7206 (1.6867)	Prec@1 54.167 (54.173)	Prec@5 75.000 (81.188)
Epoch: [0][720/5052], lr: 0.00100	Time 2.151 (2.165)	Data 1.649 (1.664)	Loss 1.5029 (1.6806)	Prec@1 58.333 (54.213)	Prec@5 79.167 (81.288)
Epoch: [0][740/5052], lr: 0.00100	Time 2.223 (2.165)	Data 1.720 (1.664)	Loss 1.3688 (1.6744)	Prec@1 50.000 (54.318)	Prec@5 91.667 (81.388)
Epoch: [0][760/5052], lr: 0.00100	Time 2.159 (2.165)	Data 1.656 (1.664)	Loss 1.2323 (1.6654)	Prec@1 75.000 (54.544)	Prec@5 87.500 (81.554)
Epoch: [0][780/5052], lr: 0.00100	Time 2.057 (2.165)	Data 1.584 (1.665)	Loss 1.4317 (1.6596)	Prec@1 50.000 (54.641)	Prec@5 91.667 (81.690)
Epoch: [0][800/5052], lr: 0.00100	Time 2.069 (2.164)	Data 1.596 (1.664)	Loss 1.6538 (1.6543)	Prec@1 45.833 (54.734)	Prec@5 83.333 (81.799)
Epoch: [0][820/5052], lr: 0.00100	Time 2.055 (2.164)	Data 1.581 (1.664)	Loss 1.3854 (1.6472)	Prec@1 50.000 (54.857)	Prec@5 83.333 (81.948)
Epoch: [0][840/5052], lr: 0.00100	Time 2.110 (2.163)	Data 1.635 (1.663)	Loss 1.6324 (1.6432)	Prec@1 50.000 (54.959)	Prec@5 87.500 (82.025)
Epoch: [0][860/5052], lr: 0.00100	Time 2.013 (2.163)	Data 1.539 (1.664)	Loss 1.5565 (1.6382)	Prec@1 54.167 (55.052)	Prec@5 79.167 (82.153)
Epoch: [0][880/5052], lr: 0.00100	Time 1.985 (2.163)	Data 1.511 (1.664)	Loss 1.5425 (1.6315)	Prec@1 58.333 (55.226)	Prec@5 91.667 (82.246)
Epoch: [0][900/5052], lr: 0.00100	Time 2.114 (2.163)	Data 1.641 (1.664)	Loss 1.1318 (1.6290)	Prec@1 70.833 (55.290)	Prec@5 95.833 (82.265)
Epoch: [0][920/5052], lr: 0.00100	Time 2.038 (2.163)	Data 1.565 (1.664)	Loss 1.1151 (1.6237)	Prec@1 58.333 (55.384)	Prec@5 83.333 (82.379)
Epoch: [0][940/5052], lr: 0.00100	Time 1.977 (2.162)	Data 1.503 (1.664)	Loss 1.4944 (1.6184)	Prec@1 62.500 (55.504)	Prec@5 83.333 (82.488)
Epoch: [0][960/5052], lr: 0.00100	Time 2.235 (2.162)	Data 1.731 (1.664)	Loss 1.8796 (1.6135)	Prec@1 41.667 (55.563)	Prec@5 83.333 (82.583)
Epoch: [0][980/5052], lr: 0.00100	Time 2.169 (2.162)	Data 1.665 (1.664)	Loss 1.5906 (1.6088)	Prec@1 50.000 (55.645)	Prec@5 83.333 (82.666)
Epoch: [0][1000/5052], lr: 0.00100	Time 2.241 (2.162)	Data 1.744 (1.664)	Loss 1.1755 (1.6030)	Prec@1 70.833 (55.794)	Prec@5 95.833 (82.801)
Epoch: [0][1020/5052], lr: 0.00100	Time 2.188 (2.163)	Data 1.689 (1.665)	Loss 1.2852 (1.6004)	Prec@1 58.333 (55.787)	Prec@5 91.667 (82.872)
Epoch: [0][1040/5052], lr: 0.00100	Time 2.085 (2.163)	Data 1.612 (1.665)	Loss 1.6010 (1.5977)	Prec@1 45.833 (55.804)	Prec@5 83.333 (82.965)
Epoch: [0][1060/5052], lr: 0.00100	Time 2.131 (2.163)	Data 1.628 (1.665)	Loss 1.9324 (1.5919)	Prec@1 50.000 (55.942)	Prec@5 70.833 (83.035)
Epoch: [0][1080/5052], lr: 0.00100	Time 2.134 (2.163)	Data 1.632 (1.665)	Loss 0.9563 (1.5894)	Prec@1 79.167 (55.974)	Prec@5 87.500 (83.102)
Epoch: [0][1100/5052], lr: 0.00100	Time 2.126 (2.162)	Data 1.624 (1.665)	Loss 1.3668 (1.5867)	Prec@1 62.500 (56.021)	Prec@5 79.167 (83.129)
Epoch: [0][1120/5052], lr: 0.00100	Time 2.037 (2.162)	Data 1.564 (1.665)	Loss 1.2292 (1.5812)	Prec@1 54.167 (56.085)	Prec@5 91.667 (83.226)
Epoch: [0][1140/5052], lr: 0.00100	Time 2.007 (2.162)	Data 1.533 (1.665)	Loss 1.2069 (1.5748)	Prec@1 66.667 (56.234)	Prec@5 91.667 (83.333)
Epoch: [0][1160/5052], lr: 0.00100	Time 2.205 (2.162)	Data 1.699 (1.665)	Loss 1.2687 (1.5720)	Prec@1 62.500 (56.281)	Prec@5 83.333 (83.398)
Epoch: [0][1180/5052], lr: 0.00100	Time 2.035 (2.162)	Data 1.562 (1.665)	Loss 1.4432 (1.5665)	Prec@1 45.833 (56.411)	Prec@5 95.833 (83.506)
Epoch: [0][1200/5052], lr: 0.00100	Time 2.253 (2.162)	Data 1.754 (1.665)	Loss 1.4504 (1.5629)	Prec@1 54.167 (56.443)	Prec@5 83.333 (83.597)
Epoch: [0][1220/5052], lr: 0.00100	Time 2.193 (2.162)	Data 1.695 (1.665)	Loss 2.1837 (1.5594)	Prec@1 41.667 (56.470)	Prec@5 79.167 (83.651)
Epoch: [0][1240/5052], lr: 0.00100	Time 2.055 (2.161)	Data 1.581 (1.664)	Loss 1.4291 (1.5553)	Prec@1 50.000 (56.547)	Prec@5 79.167 (83.709)
Epoch: [0][1260/5052], lr: 0.00100	Time 2.139 (2.161)	Data 1.637 (1.664)	Loss 1.1327 (1.5504)	Prec@1 79.167 (56.675)	Prec@5 87.500 (83.786)
Epoch: [0][1280/5052], lr: 0.00100	Time 2.043 (2.161)	Data 1.570 (1.664)	Loss 1.6205 (1.5481)	Prec@1 41.667 (56.687)	Prec@5 87.500 (83.828)
Epoch: [0][1300/5052], lr: 0.00100	Time 2.146 (2.160)	Data 1.648 (1.663)	Loss 1.0552 (1.5425)	Prec@1 62.500 (56.806)	Prec@5 91.667 (83.971)
Epoch: [0][1320/5052], lr: 0.00100	Time 2.196 (2.160)	Data 1.693 (1.663)	Loss 1.6430 (1.5377)	Prec@1 58.333 (56.949)	Prec@5 83.333 (84.037)
