Epoch: [0][660/3789], lr: 0.00100	Time 4.193 (4.377)	Data 3.713 (3.869)	Loss 1.8592 (1.6628)	Prec@1 43.750 (54.851)	Prec@5 78.125 (81.954)
Epoch: [0][680/3789], lr: 0.00100	Time 6.070 (4.375)	Data 5.570 (3.867)	Loss 1.2111 (1.6566)	Prec@1 62.500 (54.947)	Prec@5 90.625 (82.081)
Epoch: [0][700/3789], lr: 0.00100	Time 4.082 (4.369)	Data 3.610 (3.862)	Loss 1.9083 (1.6528)	Prec@1 43.750 (54.971)	Prec@5 75.000 (82.159)
Epoch: [0][720/3789], lr: 0.00100	Time 4.115 (4.365)	Data 3.615 (3.858)	Loss 1.7655 (1.6473)	Prec@1 43.750 (55.075)	Prec@5 75.000 (82.204)
Epoch: [0][740/3789], lr: 0.00100	Time 3.803 (4.364)	Data 3.249 (3.858)	Loss 1.6897 (1.6424)	Prec@1 62.500 (55.090)	Prec@5 78.125 (82.292)
Epoch: [0][760/3789], lr: 0.00100	Time 4.093 (4.361)	Data 3.600 (3.856)	Loss 1.5103 (1.6312)	Prec@1 59.375 (55.330)	Prec@5 90.625 (82.478)
Epoch: [0][780/3789], lr: 0.00100	Time 3.785 (4.356)	Data 3.304 (3.851)	Loss 1.8323 (1.6260)	Prec@1 40.625 (55.386)	Prec@5 75.000 (82.578)
Epoch: [0][800/3789], lr: 0.00100	Time 4.071 (4.356)	Data 3.581 (3.851)	Loss 1.3305 (1.6204)	Prec@1 71.875 (55.509)	Prec@5 90.625 (82.670)
Epoch: [0][820/3789], lr: 0.00100	Time 4.217 (4.355)	Data 3.712 (3.851)	Loss 1.1701 (1.6140)	Prec@1 65.625 (55.611)	Prec@5 90.625 (82.822)
Epoch: [0][840/3789], lr: 0.00100	Time 5.845 (4.353)	Data 5.360 (3.849)	Loss 1.4784 (1.6069)	Prec@1 59.375 (55.778)	Prec@5 81.250 (82.907)
Epoch: [0][860/3789], lr: 0.00100	Time 3.956 (4.352)	Data 3.464 (3.848)	Loss 1.2465 (1.5994)	Prec@1 59.375 (55.945)	Prec@5 93.750 (83.061)
Epoch: [0][880/3789], lr: 0.00100	Time 3.931 (4.350)	Data 3.457 (3.847)	Loss 1.7173 (1.5932)	Prec@1 46.875 (56.037)	Prec@5 81.250 (83.187)
Epoch: [0][900/3789], lr: 0.00100	Time 4.054 (4.350)	Data 3.552 (3.847)	Loss 1.3448 (1.5884)	Prec@1 62.500 (56.125)	Prec@5 93.750 (83.282)
Epoch: [0][920/3789], lr: 0.00100	Time 4.155 (4.348)	Data 3.659 (3.846)	Loss 1.2724 (1.5810)	Prec@1 62.500 (56.267)	Prec@5 87.500 (83.384)
Epoch: [0][940/3789], lr: 0.00100	Time 4.058 (4.351)	Data 3.580 (3.849)	Loss 0.8746 (1.5770)	Prec@1 71.875 (56.330)	Prec@5 93.750 (83.495)
Epoch: [0][960/3789], lr: 0.00100	Time 4.148 (4.349)	Data 3.668 (3.847)	Loss 1.5929 (1.5729)	Prec@1 53.125 (56.328)	Prec@5 75.000 (83.588)
Epoch: [0][980/3789], lr: 0.00100	Time 6.618 (4.349)	Data 6.148 (3.848)	Loss 1.2992 (1.5692)	Prec@1 53.125 (56.377)	Prec@5 90.625 (83.665)
Epoch: [0][1000/3789], lr: 0.00100	Time 3.824 (4.347)	Data 3.315 (3.846)	Loss 1.4956 (1.5666)	Prec@1 59.375 (56.384)	Prec@5 84.375 (83.694)
Epoch: [0][1020/3789], lr: 0.00100	Time 3.965 (4.344)	Data 3.481 (3.843)	Loss 1.3136 (1.5615)	Prec@1 62.500 (56.464)	Prec@5 84.375 (83.797)
Epoch: [0][1040/3789], lr: 0.00100	Time 4.236 (4.346)	Data 3.746 (3.845)	Loss 2.0035 (1.5591)	Prec@1 46.875 (56.493)	Prec@5 75.000 (83.841)
Epoch: [0][1060/3789], lr: 0.00100	Time 4.017 (4.344)	Data 3.520 (3.844)	Loss 0.9607 (1.5526)	Prec@1 71.875 (56.609)	Prec@5 93.750 (83.918)
Epoch: [0][1080/3789], lr: 0.00100	Time 4.099 (4.346)	Data 3.615 (3.846)	Loss 1.0430 (1.5472)	Prec@1 59.375 (56.724)	Prec@5 96.875 (84.005)
Epoch: [0][1100/3789], lr: 0.00100	Time 3.954 (4.344)	Data 3.461 (3.845)	Loss 1.3112 (1.5418)	Prec@1 59.375 (56.838)	Prec@5 87.500 (84.111)
Epoch: [0][1120/3789], lr: 0.00100	Time 3.906 (4.346)	Data 3.426 (3.847)	Loss 1.5009 (1.5391)	Prec@1 50.000 (56.869)	Prec@5 87.500 (84.211)
Epoch: [0][1140/3789], lr: 0.00100	Time 3.821 (4.345)	Data 3.320 (3.845)	Loss 1.3390 (1.5346)	Prec@1 59.375 (56.946)	Prec@5 87.500 (84.279)
Epoch: [0][1160/3789], lr: 0.00100	Time 3.852 (4.343)	Data 3.368 (3.844)	Loss 1.3620 (1.5291)	Prec@1 62.500 (57.001)	Prec@5 87.500 (84.372)
Epoch: [0][1180/3789], lr: 0.00100	Time 4.230 (4.344)	Data 3.747 (3.845)	Loss 0.7586 (1.5245)	Prec@1 81.250 (57.081)	Prec@5 90.625 (84.457)
Epoch: [0][1200/3789], lr: 0.00100	Time 3.980 (4.342)	Data 3.497 (3.843)	Loss 0.8912 (1.5204)	Prec@1 68.750 (57.153)	Prec@5 93.750 (84.552)
Epoch: [0][1220/3789], lr: 0.00100	Time 4.075 (4.342)	Data 3.577 (3.844)	Loss 1.1782 (1.5161)	Prec@1 65.625 (57.233)	Prec@5 87.500 (84.610)
Epoch: [0][1240/3789], lr: 0.00100	Time 3.996 (4.340)	Data 3.511 (3.842)	Loss 1.1976 (1.5143)	Prec@1 65.625 (57.252)	Prec@5 90.625 (84.644)
Epoch: [0][1260/3789], lr: 0.00100	Time 3.933 (4.338)	Data 3.449 (3.840)	Loss 1.5551 (1.5106)	Prec@1 56.250 (57.308)	Prec@5 81.250 (84.719)
