Epoch: [0][660/3789], lr: 0.00100	Time 4.664 (4.384)	Data 3.878 (3.589)	Loss 1.1010 (1.4404)	Prec@1 62.500 (58.240)	Prec@5 90.625 (86.564)
Epoch: [0][680/3789], lr: 0.00100	Time 4.481 (4.383)	Data 3.711 (3.589)	Loss 1.0753 (1.4302)	Prec@1 59.375 (58.466)	Prec@5 90.625 (86.679)
Epoch: [0][700/3789], lr: 0.00100	Time 4.414 (4.379)	Data 3.638 (3.586)	Loss 0.6167 (1.4250)	Prec@1 78.125 (58.599)	Prec@5 93.750 (86.747)
Epoch: [0][720/3789], lr: 0.00100	Time 4.391 (4.379)	Data 3.599 (3.587)	Loss 0.9614 (1.4196)	Prec@1 65.625 (58.773)	Prec@5 87.500 (86.807)
Epoch: [0][740/3789], lr: 0.00100	Time 4.618 (4.381)	Data 3.850 (3.589)	Loss 1.0539 (1.4136)	Prec@1 62.500 (58.873)	Prec@5 100.000 (86.918)
Epoch: [0][760/3789], lr: 0.00100	Time 4.040 (4.381)	Data 3.283 (3.589)	Loss 1.0513 (1.4058)	Prec@1 65.625 (59.005)	Prec@5 96.875 (87.052)
Epoch: [0][780/3789], lr: 0.00100	Time 4.367 (4.379)	Data 3.572 (3.588)	Loss 1.3848 (1.4014)	Prec@1 62.500 (59.047)	Prec@5 93.750 (87.120)
Epoch: [0][800/3789], lr: 0.00100	Time 4.308 (4.379)	Data 3.557 (3.589)	Loss 1.0796 (1.3957)	Prec@1 71.875 (59.196)	Prec@5 90.625 (87.196)
Epoch: [0][820/3789], lr: 0.00100	Time 4.488 (4.379)	Data 3.717 (3.588)	Loss 0.8902 (1.3924)	Prec@1 68.750 (59.257)	Prec@5 96.875 (87.230)
Epoch: [0][840/3789], lr: 0.00100	Time 4.399 (4.378)	Data 3.648 (3.588)	Loss 0.9758 (1.3851)	Prec@1 68.750 (59.405)	Prec@5 96.875 (87.363)
Epoch: [0][860/3789], lr: 0.00100	Time 4.334 (4.379)	Data 3.552 (3.589)	Loss 1.1020 (1.3790)	Prec@1 68.750 (59.575)	Prec@5 90.625 (87.442)
Epoch: [0][880/3789], lr: 0.00100	Time 4.474 (4.379)	Data 3.701 (3.589)	Loss 1.1355 (1.3738)	Prec@1 59.375 (59.620)	Prec@5 90.625 (87.532)
Epoch: [0][900/3789], lr: 0.00100	Time 4.329 (4.379)	Data 3.524 (3.590)	Loss 1.0015 (1.3662)	Prec@1 56.250 (59.791)	Prec@5 100.000 (87.677)
Epoch: [0][920/3789], lr: 0.00100	Time 4.108 (4.376)	Data 3.352 (3.587)	Loss 1.1289 (1.3622)	Prec@1 53.125 (59.860)	Prec@5 93.750 (87.744)
Epoch: [0][940/3789], lr: 0.00100	Time 4.418 (4.374)	Data 3.655 (3.586)	Loss 1.1117 (1.3561)	Prec@1 59.375 (59.986)	Prec@5 93.750 (87.855)
Epoch: [0][960/3789], lr: 0.00100	Time 4.314 (4.375)	Data 3.546 (3.586)	Loss 1.1109 (1.3501)	Prec@1 68.750 (60.165)	Prec@5 90.625 (87.959)
Epoch: [0][980/3789], lr: 0.00100	Time 4.531 (4.374)	Data 3.767 (3.586)	Loss 1.2336 (1.3466)	Prec@1 59.375 (60.248)	Prec@5 90.625 (88.010)
Epoch: [0][1000/3789], lr: 0.00100	Time 4.472 (4.374)	Data 3.719 (3.586)	Loss 0.9410 (1.3379)	Prec@1 65.625 (60.415)	Prec@5 96.875 (88.149)
Epoch: [0][1020/3789], lr: 0.00100	Time 4.386 (4.374)	Data 3.597 (3.587)	Loss 1.0713 (1.3335)	Prec@1 65.625 (60.517)	Prec@5 87.500 (88.238)
